PEDIGREE,Range,Row,Rep,PLOT,TEST,Rust.1,Rust.2,Range_Row,Row.Odd
((((B104-1 x Tx714-B/B110 x FR2128-B)-12-4-B-B-B-B/SCR82-B)-B-B-1-B-B-B2-1-1-B15-B17-B20-B24-1-B10-B14)/GP722),19,18,2,153,INEW,8,85,19_17,17
(((CML 108/Mp715)/(A6 /Tzi 8)/(Tzi 18/Ki3)/(NC334/Hi27)-238-1-1-2-1-1)/Tx779),19,16,2,154,INEW,3,20,19_15,15
((Tx781 /Tx793)-B4-2-B16)/Tx779,19,14,2,155,INEW,5,40,19_13,13
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-1//(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24)-B5-10-2-1-1)/Tx779),19,12,2,156,INEW,4.5,45,19_11,11
((((Tx781 /Tx784))/(Tx792 /Tx781))-1-B14)/Tx779,19,10,2,157,INEW,5,25,19_9,9
((GP474GT-B12-B15-B23)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-2-1-B1-B7),19,8,2,158,INEW,5,80,19_7,7
((LH195RR)/(LAMA2002-12-1-B/(CML 325/B104)-B-1-B-B-B-B)-B-B2-3-2-B-B-B-1-B--B2-B26-B13-1-B6-B15),19,6,2,159,INEW,6,50,19_5,5
((((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Argnetine Flinty Composite-C(1)-37-B-B-B2-1-B25)/((LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27/X/Tx772-B-B-B-B-B-B8-B29-B16)-1-3-2)/LH195RR),19,4,2,160,INEW,7,50,19_3,3
((WF18 Red Stalker inbred)/Tx779),20,3,2,161,INEW,6,40,20_3,3
(((CML 108/NC334)/(Tx740/CML 348)/(Tzi 18/Ki3)/(NC334/Hi27)-4-2-1-1-1-B7)/LH195RR),20,5,2,162,INEW,4,30,20_5,5
